"Class","SourceFile"
"l1j.server.a","Config.java"
"l1j.server.b","DatabaseFactory.java"
"l1j.server.Server","Server.java"
"ai.a","ActionCodes.java"
"ai.b","GMCommands.java"
"ai.c","GameServer.java"
"ai.d","IdFactory.java"
"ai.e","PacketHandler.java"
"aj.a","C_AddBookmark.java"
"aj.b","C_AddBuddy.java"
"aj.c","C_Amount.java"
"aj.d","C_Attack.java"
"aj.e","C_AttackContinue.java"
"aj.f","C_Attr.java"
"aj.g","C_AuthLogin.java"
"aj.h","C_BanClan.java"
"aj.i","C_BanParty.java"
"aj.j","C_Blink.java"
"aj.k","C_Board.java"
"aj.l","C_BoardDelete.java"
"aj.m","C_BoardPage.java"
"aj.n","C_BoardRead.java"
"aj.o","C_BoardWrite.java"
"aj.p","C_Buddy.java"
"aj.q","C_CallUser.java"
"aj.r","C_ChangeHeading.java"
"aj.s","C_CharReset.java"
"aj.t","C_CharcterConfig.java"
"aj.u","C_Chat.java"
"aj.v","C_ChatOnOff.java"
"aj.w","C_ChatParty.java"
"aj.x","C_ChatWhisper.java"
"aj.y","C_CheckPK.java"
"aj.z","C_CreateChar.java"
"aj.aa","C_CreateClan.java"
"aj.ab","C_CreateParty.java"
"aj.ac","C_DelBuddy.java"
"aj.ad","C_DeleteBookmark.java"
"aj.ae","C_DeleteChar.java"
"aj.af","C_DeleteInventoryItem.java"
"aj.ag","C_Deposit.java"
"aj.ah","C_Disconnect.java"
"aj.ai","C_Door.java"
"aj.aj","C_Drawal.java"
"aj.ak","C_DropItem.java"
"aj.al","C_EmblemDownload.java"
"aj.am","C_EmblemUpload.java"
"aj.an","C_EnterPortal.java"
"aj.ao","C_Exclude.java"
"aj.ap","C_ExitGhost.java"
"aj.aq","C_ExtraCommand.java"
"aj.ar","C_Fight.java"
"aj.as","C_FishClick.java"
"aj.at","C_FixWeapon.java"
"aj.au","C_FixWeaponList.java"
"aj.av","C_GMTeleport.java"
"aj.aw","C_GiveItem.java"
"aj.ax","C_GotoMap.java"
"aj.ay","C_GotoPortal.java"
"aj.az","C_ItemUSe.java"
"aj.ba","C_JoinClan.java"
"aj.bb","C_KeepALIVE.java"
"aj.bc","C_LeaveClan.java"
"aj.bd","C_LeaveParty.java"
"aj.be","C_Login.java"
"aj.bf","C_LoginToServer.java"
"aj.bg","C_Mail.java"
"aj.bh","C_MercenaryArrange.java"
"aj.bi","C_MercenaryEmpoly.java"
"aj.bj","C_MoveChar.java"
"aj.bk","C_NpcAction.java"
"aj.bl","C_NpcTalk.java"
"aj.bm","C_Party.java"
"aj.bn","C_PetMenu.java"
"aj.bo","C_PickUpItem.java"
"aj.bp","C_Pledge.java"
"aj.bq","C_PledgeWatch.java"
"aj.br","C_Propose.java"
"aj.bs","C_ProtoBuffers.java"
"aj.bt","C_Rank.java"
"aj.bu","C_ReadNews.java"
"aj.bv","C_Restart.java"
"aj.bw","C_RestartDead.java"
"aj.bx","C_Result.java"
"aj.by","C_SelectTarget.java"
"aj.bz","C_SendLocation.java"
"aj.ca","C_ServerVersion.java"
"aj.cb","C_Shop.java"
"aj.cc","C_ShopList.java"
"aj.cd","C_ShopWorld.java"
"aj.ce","C_SkillBuy.java"
"aj.cf","C_SkillBuyItem.java"
"aj.cg","C_SkillBuyItemOK.java"
"aj.ch","C_SkillBuyOK.java"
"aj.ci","C_TaxRate.java"
"aj.cj","C_Teleport.java"
"aj.ck","C_TeleportUser.java"
"aj.cl","C_Title.java"
"aj.cm","C_Trade.java"
