item_id,name
1,"歐西斯匕首"
2,"骰子匕首"
3,"短劍的劍身"
4,"匕首"
5,"精靈匕首"
6,"拉斯塔巴德短劍"
7,"修練者短劍 (重複)"
8,"米索莉短劍"
9,"奧里哈魯根短劍"
10,"小武士刀"
11,"水晶短劍"
12,"風刃短劍"
13,"死亡之指"
14,"混沌之刺"
15,"失去魔力的克特之劍"
16,"復仇之劍"
17,"受封印 被遺忘的巨劍"
18,"受封印 被遺忘的劍"
19,"長劍的劍身"
20,"奧里哈魯根的劍身"
21,"歐西斯短劍"
22,"鎖子甲破壞者"
23,"闊劍"
24,"短劍"
25,"銀劍"
26,"小侏儒短劍"
27,"彎刀"
28,"精靈短劍"
29,"銀長劍"
30,"紅騎士之劍"
31,"長劍"
32,"侵略者之劍"
33,"榮耀之劍"
34,"血紅慾望短劍"
35,"修練者單手劍 (重複)"
36,"幻象之劍"
37,"大馬士革刀"
38,"拉斯塔巴德長劍"
39,"短刀"
40,"血色巨劍"
41,"武士刀"
42,"細劍"
43,"海賊彎刀"
44,"古代黑暗妖精之劍"
45,"波曲王之劍"
46,"生命之劍"
47,"沉默之劍"
48,"修練者雙手劍 (重複)"
49,"武官之刃"
50,"赤焰之劍"
51,"黃金權杖"
52,"雙手劍"
53,"蜥蜴王勇士之劍"
54,"克特之劍"
55,"黑暗之劍"
56,"黑燄之劍"
57,"瑟魯基之劍"
58,"死亡騎士的烈炎之劍"
59,"騎士范德之劍"
60,"末日刀"
61,"真‧冥皇執行劍"
62,"武官雙手劍"
63,"惡魔之劍"
64,"巨劍"
65,"天空之劍"
66,"屠龍劍"
67,"古老的巨劍"
68,"古老的劍"
69,"青銅 雙刀"
70,"尖刺雙刀"
71,"鋼鐵 雙刀"
72,"暗影 雙刀"
73,"修練者雙刀 (重複)"
74,"銀光 雙刀"
75,"黑暗 雙刀"
76,"倫得雙刀"
77,"短 雙刀"
78,"暗殺軍王之痕"
79,"深淵雙刀"
80,"大馬士革 雙刀"
81,"幽暗 雙刀"
82,"拉斯塔巴德雙刀"
83,"狄亞得雙刀"
84,"暗黑雙刀"
85,"惡魔雙刀"
86,"紅影雙刀"
87,"不為人知的矛"
88,"潘的角"
89,"覆上米索莉的角"
90,"巴迪須"
91,"歐西斯之矛"
92,"柴刀"
93,"三叉戟"
94,"帕提森"
95,"槍"
96,"矛"
97,"吉薩"
98,"闊矛"
99,"精靈之矛"
100,"覆上奧里哈魯根的角"
101,"拉斯塔巴德矛"
102,"露西錘"
103,"戟"
104,"法丘"
105,"修練者長矛 (重複)"
106,"貝卡合金"
107,"深紅長矛"
108,"失去魔力的惡魔鐮刀"
109,"失去魔力的巴風特魔杖"
110,"失去魔力的巴列斯魔杖"
111,"失去魔力的冰之女王魔杖"
112,"抗魔精靈短劍"
113,"敏捷精靈短劍"
114,"威嚴權杖"
115,"水晶魔杖"
116,"黑法師之杖"
117,"蕾雅魔杖"
118,"漆黑水晶球"
119,"惡魔鐮刀"
120,"修練者魔杖 (重複)"
121,"冰之女王魔杖"
122,"拉斯塔巴德魔杖"
123,"巴列斯魔杖"
124,"巴風特魔杖"
125,"巫術魔法杖"
126,"瑪那魔杖"
127,"鋼鐵瑪那魔杖"
128,"橡木魔法杖"
129,"美基魔法杖"
130,"紅水晶魔杖"
131,"力量魔法杖"
132,"神官魔杖"
133,"古代人的智慧"
134,"聖晶魔杖"
135,"不為人知的斧"
136,"斧"
137,"亞連"
138,"木棒"
139,"弗萊爾"
140,"釘錘"
141,"戰錘"
142,"銀斧"
143,"戰斧"
144,"侏儒鐵斧"
145,"狂戰士斧"
146,"流星錘"
147,"修練者斧頭 (重複)"
148,"巨斧"
149,"牛人斧頭"
150,"天父之怒"
151,"惡魔斧頭"
152,"青銅 鋼爪"
153,"鋼鐵 鋼爪"
154,"暗影 鋼爪"
155,"魔獸軍王之爪"
156,"修練者鋼爪 (重複)"
157,"銀光 鋼爪"
158,"黑暗 鋼爪"
159,"短 鋼爪"
160,"獸王鋼爪"
161,"大馬士革 鋼爪"
162,"幽暗 鋼爪"
163,"巴蘭卡鋼爪"
164,"暗黑鋼爪"
165,"惡魔鋼爪"
166,"恨之鋼爪"
167,"受封印 被遺忘的弩槍"
168,"黑暗 十字弓"
169,"獵人之弓"
170,"精靈弓"
171,"歐西斯弓"
172,"弓"
173,"短弓"
174,"修練者石弓 (重複)"
175,"修練者長弓 (重複)"
176,"拉斯塔巴德弓"
177,"幽暗 十字弓"
178,"寂靜十字弓"
179,"古代妖精弩槍"
180,"十字弓"
181,"尤米弓"
182,"古老的弩槍"
183,"幻象之弓"
184,"赤焰之弓"
185,"惡魔十字弓"
186,"狄亞得十字弓"
187,"拉斯塔巴德十字弓"
188,"拉斯塔巴德重十字弓"
189,"暗黑十字弓"
190,"沙哈之弓"
191,"水之豎琴"
192,"水精靈之弓"
193,"鐵手甲"
194,"真鐵手甲"
195,"受詛咒的真‧冥皇執行劍"
196,"炎魔雙手劍一階"
197,"炎魔雙手劍二階"
198,"炎魔雙手劍三階"
199,"炎魔雙手劍四階"
200,"炎魔雙手劍五階"
201,"炎魔雙手劍六階"
202,"炎魔雙手劍七階"
203,"炎魔雙手劍八階"
204,"深紅之弩"
205,"熾炎天使弓"
206,"黑暗妖精之劍"
207,"煉獄鋼爪"
208,"魔法精靈短劍"
209,"體質精靈短劍"
210,"守護者之矛"
211,"獨角獸之角"
212,"海神三叉戟"
213,"吉爾塔斯魔杖"
214,"%i‧妖精弓"
215,"敏捷精靈弓"
216,"妖精之弓"
217,"吉爾塔斯之劍"
218,"安加斯的釘錘"
219,"馬普勒之斧"
220,"法師之杖"
