skill_id,name,buff_duration,hp_consume,mp_consume,reuse_delay
1,"初級治癒術",0,0,4,10
2,"日光術",3600,0,4,10
3,"保護罩",1800,0,8,10
4,"光箭",0,0,3,10
5,"指定傳送",0,0,10,10
6,"冰箭",0,0,4,10
7,"風刃",0,0,4,10
8,"神聖武器",1200,0,10,10
9,"解毒術",0,0,15,10
10,"寒冷戰慄",0,0,8,10
11,"毒咒",30,0,10,500
12,"擬似魔法武器",1800,0,20,10
13,"無所遁形術",0,0,15,500
14,"負重強化",1800,50,10,10
15,"火箭",0,0,6,10
16,"地獄之牙",0,0,6,10
17,"極光雷電",0,0,20,500
18,"起死回生術",0,0,20,500
19,"中級治癒術",0,0,12,100
20,"闇盲咒術",16,0,20,500
21,"鎧甲護持",1800,0,20,10
22,"寒冰氣息",0,0,20,300
23,"能量感測",0,0,8,10
24,"none",0,0,0,0
25,"燃燒的火球",0,0,20,500
26,"通暢氣脈術",1200,0,50,10
27,"壞物術",0,0,32,3000
28,"吸血鬼之吻",0,0,12,50
29,"緩速術",64,0,20,500
30,"岩牢",0,0,24,500
31,"魔法屏障",16,0,20,10
32,"冥想術",640,30,5,10
33,"木乃伊的詛咒",4,0,80,5000
34,"極道落雷",0,0,18,100
35,"高級治癒術",0,0,20,200
36,"迷魅術",3600,20,30,10
37,"聖潔之光",0,0,20,10
38,"冰錐",0,0,18,10
39,"魔力奪取",0,50,1,500
40,"黑闇之影",32,0,15,500
41,"造屍術",0,80,5,10
42,"體魄強健術",1200,0,50,10
43,"加速術",1200,0,40,10
44,"魔法相消術",0,0,40,500
45,"地裂術",0,0,20,100
46,"烈炎術",0,0,20,500
47,"弱化術",64,0,10,500
48,"祝福魔法武器",1200,0,20,10
49,"體力回復術",0,0,50,500
50,"冰矛圍籬",16,0,36,500
51,"召喚術",0,30,30,1000
52,"神聖疾走",64,0,15,10
53,"龍捲風",0,0,40,1500
54,"強力加速術",2400,0,60,10
55,"狂暴術",320,0,40,10
56,"疾病術",64,0,10,500
57,"全部治癒術",0,0,48,500
58,"火牢",10,0,60,10
59,"冰雪暴",0,10,60,1500
60,"隱身術",86400,0,15,0
61,"返生術",0,0,50,10
62,"震裂術",0,0,40,1500
63,"治癒能量風暴",320,0,20,10
64,"魔法封印",16,0,20,500
65,"雷霆風暴",0,0,48,2000
66,"沉睡之霧",8,0,40,1500
67,"變形術",7200,0,60,10
68,"聖結界",32,0,30,1500
69,"集體傳送術",0,0,60,10
70,"火風暴",0,0,48,2000
71,"藥水霜化術",16,0,20,500
72,"強力無所遁形術",0,0,30,500
73,"治癒逆行",10,0,60,500
74,"流星雨",0,0,60,3000
75,"終極返生術",0,0,100,10
76,"集體緩速術",64,0,20,3000
77,"究極光裂術",0,0,70,4000
78,"絕對屏障",12,0,30,12000
79,"靈魂昇華",1200,0,20,10
80,"寒冰尖刺",0,0,30,100
81,"none",0,0,0,2000
82,"none",0,0,0,923
83,"none",0,0,0,0
84,"none",0,0,0,0
85,"none",900,0,0,0
86,"none",30,0,0,0
87,"衝擊之暈",1,0,13,8000
88,"增幅防禦",192,50,7,3000
89,"尖刺盔甲",64,60,10,5000
90,"堅固防護",192,100,10,3000
91,"反擊屏障",64,100,10,3000
92,"絕禦之刃",8,0,7,0
93,"none",1200,0,0,0
94,"none",1200,0,0,0
95,"none",1200,0,0,0
96,"none",1200,0,0,0
97,"暗隱術",32,0,10,9990
98,"附加劇毒",320,1,10,0
99,"影之防護",960,0,12,10
100,"提煉魔石",0,0,5,0
101,"行走加速",960,0,10,0
102,"燃燒鬥志",300,0,20,990
103,"暗黑盲咒",3,0,20,990
104,"毒性抵抗",320,0,20,0
105,"雙重破壞",192,0,30,0
106,"暗影閃避",192,0,20,0
107,"暗影之牙",192,0,30,0
108,"會心一擊",0,100,1,0
109,"力量提升",960,0,10,0
110,"敏捷提升",960,0,10,0
111,"迴避提升",32,0,20,0
112,"破壞盔甲",8,30,40,2000
113,"精準目標",15,0,2,0
114,"灼熱武器",640,0,25,0
115,"鋼鐵士氣",640,0,25,0
116,"呼喚盟友",0,0,30,0
117,"勇猛意志",640,0,25,100
118,"援護盟友",0,0,30,0
119,"神聖犧牲",0,0,1,0
120,"幻象",60,0,0,0
121,"王者加護",0,0,0,0
122,"恩典庇護",15,0,15,0
123,"none",0,0,0,0
124,"none",0,0,0,0
125,"none",0,0,0,0
126,"none",0,0,0,0
127,"none",0,0,0,0
128,"none",0,0,0,0
129,"魔法防禦",1200,0,5,0
130,"心靈轉換",0,8,0,100
131,"世界樹的呼喚",0,0,10,0
132,"三重矢",0,0,15,80
133,"弱化屬性",64,0,10,100
134,"精靈重力",1800,0,30,1000
135,"魔力護盾",600,0,30,0
136,"none",0,0,0,0
137,"淨化精神",1200,0,10,0
138,"屬性防禦",1200,0,10,0
139,"none",0,0,0,0
140,"none",0,0,0,0
141,"none",0,0,0,0
142,"none",0,0,0,0
143,"none",0,0,0,0
144,"none",0,0,0,0
145,"釋放元素",0,0,30,0
146,"魂體轉換",0,50,0,1200
147,"單屬性防禦",64,0,6,0
148,"火焰武器",960,0,15,0
149,"風之神射",960,0,15,0
150,"風之疾走",960,0,15,0
151,"大地防護",960,0,15,0
152,"地面障礙",64,0,20,0
153,"魔法消除",32,0,20,600
154,"召喚屬性精靈",0,0,20,100
155,"舞躍之火",480,0,20,0
156,"暴風之眼",960,0,40,0
157,"大地屏障",10,0,18,600
158,"生命之泉",320,0,20,0
159,"大地的護衛",600,10,30,2000
160,"水之防護",960,0,30,100
161,"封印禁地",16,0,40,9000
162,"召喚強力屬性精靈",0,0,20,0
163,"烈炎武器",960,0,30,0
164,"生命的祝福",0,0,30,300
165,"生命呼喚",0,0,50,0
166,"暴風神射",960,0,30,0
167,"風之枷鎖",16,0,15,100
168,"鋼鐵防護",960,0,30,0
169,"體能激發",960,0,30,100
170,"水之元氣",64,0,1,100
