id,source_file,source_table,bytes,data_state,sql_shape,insert_statements,create_statements,overlap_850_exact,overlap_850_tables,overlap_850_semantic,module_family,audit_status,core_381_status,core_850_status,client_status,difficulty,decision,evidence_note
1,_伊娃紋樣屬性設定__202609221205.sql,伊娃紋樣屬性設定,4167,HAS_SQL_CONTENT,INSERT_ONLY,4,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
2,_沙哈紋樣屬性設定__202609221205.sql,沙哈紋樣屬性設定,4060,HAS_SQL_CONTENT,INSERT_ONLY,4,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
3,_系统_道具掉落限制__202609221205.sql,系统_道具掉落限制,0,NO_ACTIVE_DATA,EMPTY,0,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,Empty SQL is not a SKIP reason
4,_帕格里奧紋樣屬性設定__202609221205.sql,帕格里奧紋樣屬性設定,4541,HAS_SQL_CONTENT,INSERT_ONLY,4,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
5,_殷海薩紋樣屬性設定__202609221205.sql,殷海薩紋樣屬性設定,4115,HAS_SQL_CONTENT,INSERT_ONLY,4,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
6,_馬普勒紋樣屬性設定__202609221205.sql,馬普勒紋樣屬性設定,4078,HAS_SQL_CONTENT,INSERT_ONLY,4,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
7,_廣播_定時_顯示__202609221205.sql,廣播_定時_顯示,566,HAS_SQL_CONTENT,INSERT_ONLY,1,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
8,_廣播_掉寶_顯示__202609221205.sql,廣播_掉寶_顯示,198,HAS_SQL_CONTENT,INSERT_ONLY,1,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
9,_廣播_殺人_顯示__202609221205.sql,廣播_殺人_顯示,180,HAS_SQL_CONTENT,INSERT_ONLY,1,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
10,_廣播_登入_顯示__202609221205.sql,廣播_登入_顯示,291,HAS_SQL_CONTENT,INSERT_ONLY,1,0,NO_EXACT_TABLE_MATCH,,PENDING_CORE_REVIEW,UNCLASSIFIED,SQL_SCANNED,NOT_PROVEN,NOT_PROVEN,NOT_CHECKED,NOT_FINAL,HOLD,SQL content indexed; runtime semantics pending
