level,item_381,item_850
L1,ban_ip,ban_ip
L1,connection_test_table,connection_test_table
L1,dungeon,dungeon
L1,getback,getback
L1,getback_restart,getback_restart
L1,mobgroup,mobgroup
L1,pettypes,pettypes
L1,polymorphs,polymorphs
L1,resolvent,resolvent
L1,trap,trap
L2,廣播_定時_顯示,N/A
L2,廣播_掉寶_顯示,N/A
L2,廣播_殺人_顯示,N/A
L2,廣播_登入_顯示,N/A
L2,廣播_寶箱_顯示,N/A
L2,accounts,accounts
L2,armor,armor
L2,armor_set,armor_set
L2,beginner,beginner
L2,commands_指令,N/A
L2,config_other,N/A
L2,config_server,N/A
L2,de_emblem_tmp,N/A
L2,de_name,N/A
L2,de_shopds,N/A
L2,de_shopds_chat,N/A
L2,de_shopds_global,N/A
L2,de_siege_chat,N/A
L2,de_title,N/A
L2,drop_item,N/A
L2,droplist,droplist
L2,dummy_fishing,N/A
L2,dungeon_random,N/A
L2,eric_random_mob,N/A
L2,eric_startcheckwartime,N/A
L2,etcitem,etcitem
L2,etcitem_box,N/A
L2,etcitem_box_key,N/A
L2,etcitem_boxs,N/A
L2,etcitem_doll_power,N/A
L2,etcitem_doll_type,N/A
L2,etcitem_teleport,N/A
L2,exp,N/A
L2,ezpay,N/A
L2,ezpay_首儲獎勵,N/A
L2,ezpay_滿額送禮,N/A
L2,ezpay_贊助比值,N/A
L2,ezpay_贊助累積金額,N/A
L2,ezpay廠商選擇,N/A
L2,ezpay廠商選擇1,N/A
L2,inn,N/A
L2,inn_key,N/A
L2,mapids,mapids
L2,mapids_check,N/A
L2,mapids_group,N/A
L2,mapids_level,N/A
L2,mapids_tile,N/A
L2,mobskill,N/A
L2,mobskill_copy,N/A
L2,npc,npc
L2,npc_talk,N/A
L2,npcaction,N/A
L2,npcaction_teleport,N/A
L2,npcchat,npcchat
L2,pc_reset_backup,N/A
L2,petitem,petitem
L2,polymorphs_bk,N/A
L2,polymorphs_bk_新boss可用,N/A
L2,server_board,N/A
L2,server_board_auction,N/A
L2,server_board_orim,N/A
L2,server_c1_name,N/A
L2,server_c1_name_type,N/A
L2,server_c1_npcscore,N/A
L2,server_castle,N/A
L2,server_crock,N/A
L2,server_event,N/A
L2,server_event_spawn,N/A
L2,server_fishing,N/A
L2,server_house,N/A
L2,server_info,N/A
L2,server_item_power,N/A
L2,server_item_power_update,N/A
L2,server_item_restrictions,N/A
L2,server_item_update,N/A
L2,server_shopx,N/A
L2,server_town,N/A
L2,shop,shop
L2,shop_商城一比一回饋,N/A
L2,shop_商城消費贈禮,N/A
L2,shop_cn,N/A
L2,shop_user,N/A
L2,siege_dummy_spawns,N/A
L2,skills,skills
L2,skills_無法檔魔屏,N/A
L2,skills_copy,N/A
L2,skills_item,N/A
L2,spawnlist,spawnlist
L2,spawnlist_boss,spawnlist_boss
L2,spawnlist_door,spawnlist_door
L2,spawnlist_furniture,spawnlist_furniture
L2,spawnlist_light,spawnlist_light
L2,spawnlist_npc,spawnlist_npc
L2,spawnlist_scenery,N/A
L2,spawnlist_time,N/A
L2,spawnlist_trap,spawnlist_trap
L2,spawnlist_ub,N/A
L2,spr_action,N/A
L2,spr_action_copy1,N/A
L2,spr_action_copy2,N/A
L2,system_firesmith_crystal,N/A
L2,system_item_npc,N/A
L2,ub_managers,N/A
L2,ub_rank,N/A
L2,ub_settings,N/A
L2,ub_supplies,N/A
L2,ub_times,N/A
L2,w_小瑪莉,N/A
L2,w_內掛中禁止打到的物品,N/A
L2,w_火神裝備製作,N/A
L2,w_全服怪物提升,N/A
L2,w_全服掉落,N/A
L2,w_地圖回血魔設置,N/A
L2,w_死亡噴出消失物品,N/A
L2,w_自訂物品顯示,N/A
L2,w_自訂道具商城,N/A
L2,w_自訂變形卷軸,N/A
L2,w_自動學習技能,N/A
L2,w_即時獎勵系統,N/A
L2,w_每日簽到控制,N/A
L2,w_怪物死亡召喚,N/A
L2,w_怪物掉落隨機強化,N/A
L2,w_怪物擊殺系統,N/A
L2,w_拉霸系統,N/A
L2,w_物品分解系統,N/A
L2,w_物品日期限制,N/A
L2,w_物品融合db化,N/A
L2,w_玩家即時領取物品,N/A
L2,w_玩家限制時間領取,N/A
L2,w_城戰獲勝獎勵,N/A
L2,w_指定地圖回血魔,N/A
L2,w_指定地圖掉落,N/A
L2,w_指定道具賦予狀態,N/A
L2,w_挖掘系統,N/A
L2,w_負面魔法機率,N/A
L2,w_限制親友交易物品,N/A
L2,w_參予擊殺獎勵,N/A
L2,w_掉落廣播系統,N/A
L2,w_節日活動,N/A
L2,w_裝武強化lv,N/A
L2,w_裝備總加成能力,N/A
L2,w_過安定防具,N/A
L2,w_過安定武器,N/A
L2,w_道具火神製作,N/A
L2,w_道具召喚,N/A
L2,w_道具召喚時間,N/A
L2,w_道具技能,N/A
L2,w_道具對話檔,N/A
L2,w_道具輔助系統,N/A
L2,w_道具寶相次數,N/A
L2,w_飾品等級,N/A
L2,w_敵人死亡奪寶,N/A
L2,w_衝裝贖回記錄,N/A
L2,w_隨身祭司,N/A
L2,w_bosschallenge,N/A
L2,w_hprmprrangemap,N/A
L2,w_map_limit_item,N/A
L2,w_map_limit_setting,N/A
L2,w_npc製作,N/A
L2,weapon,weapon
L2,weapon_magic_skill,N/A
L2,weapon_power,N/A
L2,weapon_skill,weapon_skill
L2,weapon_skill_in,N/A
L2,weapon_skill_power,N/A
L2,william_message,N/A
L2,william_npc_give_skill,N/A
L2,william_npc_quiz_day,N/A
L2,william_pc_轉生,N/A
L2,william_pc_轉生_giveitem,N/A
L2,william_pc_轉生經驗,N/A
L2,x_大師製作系統,N/A
L2,x_刪物自動回收系統,N/A
L3,系统_道具掉落限制,N/A
L3,character_內掛,N/A
L3,character_內掛仇人清單,N/A
L3,character_內掛被殺清單,N/A
L3,character_天賦紀錄,N/A
L3,character_加速,N/A
L3,character_回憶蠟燭,N/A
L3,character_攻城獎勵,N/A
L3,character_角色_丟怪,N/A
L3,character_角色_丟物,N/A
L3,character_角色_交易,N/A
L3,character_角色_交易1,N/A
L3,character_角色_收購,N/A
L3,character_角色_刪人,N/A
L3,character_角色_刪物,N/A
L3,character_角色_妖倉,N/A
L3,character_角色_改密,N/A
L3,character_角色_攻城傷害,N/A
L3,character_角色_更名,N/A
L3,character_角色_角倉,N/A
L3,character_角色_使用掛機,N/A
L3,character_角色_洗血,N/A
L3,character_角色_個倉,N/A
L3,character_角色_商城,N/A
L3,character_角色_殺人,N/A
L3,character_角色_聊天,N/A
L3,character_角色_販售,N/A
L3,character_角色_盟倉,N/A
L3,character_角色_噴裝,N/A
L3,character_角色_衝裝,N/A
L3,character_角色_衝裝1,N/A
L3,character_角色_撿物,N/A
L3,character_角色_隨機禮物,N/A
L3,character_角色_擺攤,N/A
L3,character_角色_寶箱,N/A
L3,character_角色_ai驗證,N/A
L3,character_物品_時間,N/A
L3,character_消費,N/A
L3,character_除錯_封包,N/A
L3,character_除錯_傳送,N/A
L3,character_掉寶,N/A
L3,character_裝武_保護,N/A
L3,character_離線擺攤,N/A
L3,character_贊助,N/A
L3,character_贊助_滿額禮,N/A
L3,character_alliance,N/A
L3,character_bad_buddy,N/A
L3,character_bank,N/A
L3,character_buddys,character_buddys
L3,character_buff,character_buff
L3,character_bug回報,N/A
L3,character_c1,N/A
L3,character_config,character_config
L3,character_elf_warehouse,character_elf_warehouse
L3,character_etcitems,N/A
L3,character_gambling,N/A
L3,character_gm_指令,N/A
L3,character_item_power,N/A
L3,character_items,character_items
L3,character_items_time,N/A
L3,character_mail,N/A
L3,character_mails,N/A
L3,character_maps_time,N/A
L3,character_other,N/A
L3,character_pets,N/A
L3,character_punish,N/A
L3,character_quest_map,N/A
L3,character_quests,character_quests
L3,character_shop,character_shop
L3,character_shopinfo,N/A
L3,character_skills,character_skills
L3,character_teleport,character_teleport
L3,character_teleport_config,N/A
L3,character_vip,N/A
L3,character_warehouse,character_warehouse
L3,character_warehouse_for_cha,N/A
L3,character_weapon_time,N/A
L3,characters,characters
L3,characters_帳號使用道具,N/A
L3,characters_腳色使用道具,N/A
L3,clan_data,clan_data
L3,clan_emblem,N/A
L3,clan_matching_apclist,N/A
L3,clan_matching_list,N/A
L3,clan_members,clan_members
L3,clan_warehouse,clan_warehouse
L3,clan_warehouse_history,clan_warehouse_history
L3,de_clan,N/A
L3,server_quest,N/A
L3,server_quest_maps,N/A
L3,server_quest_spawn,N/A
L3,w_升級獎勵,N/A
L3,w_升級獎勵_任務,N/A
