"Table","Line"
"_announce_cycle","59979"
"_announce_login","59998"
"_config","60013"
"_config_other","60056"
"_config_world","60090"
"accounts","22"
"armor","47"
"armor_set","1104"
"ban_ip","1216"
"beginner","1229"
"board","1273"
"castle","1290"
"character_buddys","1403"
"character_buff","1420"
"character_config","1437"
"character_elf_warehouse","1451"
"character_equip","1484"
"character_gift","1498"
"character_items","1512"
"character_luckydraw","1545"
"character_mobs","1563"
"character_mobs_week","1577"
"character_quests","1594"
"character_quests_new","1609"
"character_shop","1623"
"character_skills","1638"
"character_teleport","1657"
"character_warehouse","1678"
"character_warehouse_only","1711"
"characters","1319"
"clan_data","1744"
"clan_members","1767"
"clan_warehouse","1786"
"clan_warehouse_history","1819"
"commands","1840"
"connection_test_table","1970"
"craft","1982"
"craft_exchange","2750"
"door_gfxs","3290"
"droplist","3470"
"droplist_map","21124"
"dungeon","21183"
"etcitem","22575"
"fishing","25617"
"getback","25661"
"getback_restart","26208"
"gift","26711"
"history_chat","26869"
"history_enchant","26887"
"history_give","26906"
"history_pickup","26925"
"history_resolvent","26944"
"history_sell","26963"
"history_trade","26982"
"history_warehouse","27001"
"history_warehouse_clan","27020"
"history_warehouse_elf","27039"
"history_world_shop","27058"
"house","27077"
"html","27232"
"html_craft","27499"
"html_teleport","28104"
"inns","30219"
"letter","30236"
"lost_power_item","30256"
"luckydraw","30364"
"magic_doll","30500"
"mail","30699"
"mapids","30720"
"mob_quest_week","32882"
"mobgroup","31442"
"mobskills","31562"
"npc","32963"
"npcchat","36804"
"petitem","36969"
"pets","37026"
"pettypes","37071"
"polymorphs","37132"
"race_ticket","37622"
"ranking","39202"
"resolvent","39324"
"resolvent_refinery","41305"
"shop","41442"
"shop_world","46667"
"skills","46861"
"soul_tower","47137"
"spawnlist","47154"
"spawnlist_boss","52209"
"spawnlist_door","52319"
"spawnlist_field","52947"
"spawnlist_furniture","54738"
"spawnlist_light","54790"
"spawnlist_npc","54981"
"spawnlist_trap","57134"
"town","57360"
"trap","57392"
"treasure_box","57478"
"weapon","59333"
"weapon_skill","59803"
