"ObfuscatedClass","SourceFile","Package","Category","IdentityConfidence"
"l1j.server.a","Config.java","l1j.server","BOOTSTRAP","SOURCEFILE_CONFIRMED"
"l1j.server.b","DatabaseFactory.java","l1j.server","BOOTSTRAP","SOURCEFILE_CONFIRMED"
"l1j.server.Server","Server.java","l1j.server","BOOTSTRAP","SOURCEFILE_CONFIRMED"
"ai.a","ActionCodes.java","ai","SERVER_CORE","SOURCEFILE_CONFIRMED"
"ai.b","GMCommands.java","ai","SERVER_CORE","SOURCEFILE_CONFIRMED"
"ai.c","GameServer.java","ai","SERVER_CORE","SOURCEFILE_CONFIRMED"
"ai.d","IdFactory.java","ai","SERVER_CORE","SOURCEFILE_CONFIRMED"
"ai.e","PacketHandler.java","ai","SERVER_CORE","SOURCEFILE_CONFIRMED"
"aj.a","C_AddBookmark.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.b","C_AddBuddy.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.c","C_Amount.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.d","C_Attack.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.e","C_AttackContinue.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.f","C_Attr.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.g","C_AuthLogin.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.h","C_BanClan.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.i","C_BanParty.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.j","C_Blink.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.k","C_Board.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.l","C_BoardDelete.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.m","C_BoardPage.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.n","C_BoardRead.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.o","C_BoardWrite.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.p","C_Buddy.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.q","C_CallUser.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.r","C_ChangeHeading.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.s","C_CharReset.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.t","C_CharcterConfig.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.u","C_Chat.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.v","C_ChatOnOff.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.w","C_ChatParty.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.x","C_ChatWhisper.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.y","C_CheckPK.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.z","C_CreateChar.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.aa","C_CreateClan.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ab","C_CreateParty.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ac","C_DelBuddy.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ad","C_DeleteBookmark.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ae","C_DeleteChar.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.af","C_DeleteInventoryItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ag","C_Deposit.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ah","C_Disconnect.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ai","C_Door.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.aj","C_Drawal.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ak","C_DropItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.al","C_EmblemDownload.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.am","C_EmblemUpload.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.an","C_EnterPortal.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ao","C_Exclude.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ap","C_ExitGhost.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.aq","C_ExtraCommand.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ar","C_Fight.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.as","C_FishClick.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.at","C_FixWeapon.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.au","C_FixWeaponList.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.av","C_GMTeleport.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.aw","C_GiveItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ax","C_GotoMap.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ay","C_GotoPortal.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.az","C_ItemUSe.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ba","C_JoinClan.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bb","C_KeepALIVE.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bc","C_LeaveClan.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bd","C_LeaveParty.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.be","C_Login.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bf","C_LoginToServer.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bg","C_Mail.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bh","C_MercenaryArrange.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bi","C_MercenaryEmpoly.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bj","C_MoveChar.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bk","C_NpcAction.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
