OldInternal,NewInternal,Kind
ai/a,l1r/ai/ActionCodes,TOP_LEVEL
ai/b,l1r/ai/GMCommands,TOP_LEVEL
ai/c,l1r/ai/GameServer,TOP_LEVEL
ai/c$a,l1r/ai/GameServer$a,INNER
ai/c$b,l1r/ai/GameServer$b,INNER
ai/c$c,l1r/ai/GameServer$c,INNER
ai/c$d,l1r/ai/GameServer$d,INNER
ai/c$e,l1r/ai/GameServer$e,INNER
ai/d,l1r/ai/IdFactory,TOP_LEVEL
ai/e,l1r/ai/PacketHandler,TOP_LEVEL
aj/a,l1r/aj/C_AddBookmark,TOP_LEVEL
aj/aa,l1r/aj/C_CreateClan,TOP_LEVEL
aj/ab,l1r/aj/C_CreateParty,TOP_LEVEL
aj/ac,l1r/aj/C_DelBuddy,TOP_LEVEL
aj/ad,l1r/aj/C_DeleteBookmark,TOP_LEVEL
aj/ae,l1r/aj/C_DeleteChar,TOP_LEVEL
aj/af,l1r/aj/C_DeleteInventoryItem,TOP_LEVEL
aj/ag,l1r/aj/C_Deposit,TOP_LEVEL
aj/ah,l1r/aj/C_Disconnect,TOP_LEVEL
aj/ai,l1r/aj/C_Door,TOP_LEVEL
aj/ai$a,l1r/aj/C_Door$a,INNER
aj/aj,l1r/aj/C_Drawal,TOP_LEVEL
aj/ak,l1r/aj/C_DropItem,TOP_LEVEL
aj/al,l1r/aj/C_EmblemDownload,TOP_LEVEL
aj/am,l1r/aj/C_EmblemUpload,TOP_LEVEL
aj/an,l1r/aj/C_EnterPortal,TOP_LEVEL
aj/ao,l1r/aj/C_Exclude,TOP_LEVEL
aj/ap,l1r/aj/C_ExitGhost,TOP_LEVEL
aj/aq,l1r/aj/C_ExtraCommand,TOP_LEVEL
aj/ar,l1r/aj/C_Fight,TOP_LEVEL
aj/as,l1r/aj/C_FishClick,TOP_LEVEL
aj/at,l1r/aj/C_FixWeapon,TOP_LEVEL
aj/au,l1r/aj/C_FixWeaponList,TOP_LEVEL
aj/av,l1r/aj/C_GMTeleport,TOP_LEVEL
aj/aw,l1r/aj/C_GiveItem,TOP_LEVEL
aj/ax,l1r/aj/C_GotoMap,TOP_LEVEL
aj/ay,l1r/aj/C_GotoPortal,TOP_LEVEL
aj/az,l1r/aj/C_ItemUSe,TOP_LEVEL
aj/b,l1r/aj/C_AddBuddy,TOP_LEVEL
aj/ba,l1r/aj/C_JoinClan,TOP_LEVEL
aj/bb,l1r/aj/C_KeepALIVE,TOP_LEVEL
aj/bc,l1r/aj/C_LeaveClan,TOP_LEVEL
aj/bd,l1r/aj/C_LeaveParty,TOP_LEVEL
aj/be,l1r/aj/C_Login,TOP_LEVEL
aj/bf,l1r/aj/C_LoginToServer,TOP_LEVEL
aj/bg,l1r/aj/C_Mail,TOP_LEVEL
aj/bh,l1r/aj/C_MercenaryArrange,TOP_LEVEL
aj/bi,l1r/aj/C_MercenaryEmpoly,TOP_LEVEL
aj/bj,l1r/aj/C_MoveChar,TOP_LEVEL
aj/bk,l1r/aj/C_NpcAction,TOP_LEVEL
aj/bl,l1r/aj/C_NpcTalk,TOP_LEVEL
aj/bm,l1r/aj/C_Party,TOP_LEVEL
aj/bn,l1r/aj/C_PetMenu,TOP_LEVEL
aj/bo,l1r/aj/C_PickUpItem,TOP_LEVEL
aj/bp,l1r/aj/C_Pledge,TOP_LEVEL
aj/bp$a,l1r/aj/C_Pledge$a,INNER
aj/bq,l1r/aj/C_PledgeWatch,TOP_LEVEL
aj/br,l1r/aj/C_Propose,TOP_LEVEL
aj/bs,l1r/aj/C_ProtoBuffers,TOP_LEVEL
aj/bt,l1r/aj/C_Rank,TOP_LEVEL
aj/bu,l1r/aj/C_ReadNews,TOP_LEVEL
aj/bv,l1r/aj/C_Restart,TOP_LEVEL
aj/bw,l1r/aj/C_RestartDead,TOP_LEVEL
aj/bx,l1r/aj/C_Result,TOP_LEVEL
aj/by,l1r/aj/C_SelectTarget,TOP_LEVEL
aj/bz,l1r/aj/C_SendLocation,TOP_LEVEL
aj/c,l1r/aj/C_Amount,TOP_LEVEL
aj/ca,l1r/aj/C_ServerVersion,TOP_LEVEL
aj/cb,l1r/aj/C_Shop,TOP_LEVEL
aj/cc,l1r/aj/C_ShopList,TOP_LEVEL
aj/cd,l1r/aj/C_ShopWorld,TOP_LEVEL
aj/ce,l1r/aj/C_SkillBuy,TOP_LEVEL
aj/cf,l1r/aj/C_SkillBuyItem,TOP_LEVEL
aj/cg,l1r/aj/C_SkillBuyItemOK,TOP_LEVEL
aj/ch,l1r/aj/C_SkillBuyOK,TOP_LEVEL
aj/ci,l1r/aj/C_TaxRate,TOP_LEVEL
aj/cj,l1r/aj/C_Teleport,TOP_LEVEL
aj/ck,l1r/aj/C_TeleportUser,TOP_LEVEL
aj/cl,l1r/aj/C_Title,TOP_LEVEL
aj/cm,l1r/aj/C_Trade,TOP_LEVEL
aj/cn,l1r/aj/C_TradeAddItem,TOP_LEVEL
aj/co,l1r/aj/C_TradeCancel,TOP_LEVEL
aj/cp,l1r/aj/C_TradeOK,TOP_LEVEL
aj/cq,l1r/aj/C_UsePetItem,TOP_LEVEL
aj/cr,l1r/aj/C_UseSkill,TOP_LEVEL
aj/cs,l1r/aj/C_War,TOP_LEVEL
aj/ct,l1r/aj/C_WarePassword,TOP_LEVEL
aj/cu,l1r/aj/C_Who,TOP_LEVEL
aj/cv,l1r/aj/ClientBasePacket,TOP_LEVEL
aj/d,l1r/aj/C_Attack,TOP_LEVEL
aj/e,l1r/aj/C_AttackContinue,TOP_LEVEL
